dataset,,,,,caltech101,caltech101,caltech101,fgvc-aircraft-2013b,fgvc-aircraft-2013b,fgvc-aircraft-2013b,flowers-102,flowers-102,flowers-102,oxford-iiit-pet,oxford-iiit-pet,oxford-iiit-pet,stanford_cars,stanford_cars,stanford_cars,uc-merced-land-use-dataset,uc-merced-land-use-dataset,uc-merced-land-use-dataset
ft_strategy,,,,,FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs),FFT (5 epochs),FFT (50 epochs),LP (50 epochs)
model_type,model_size,pre_training_strategy,loss_function,backbone,,,,,,,,,,,,,,,,,,
fully attention,large,fusion,Classic AT,vit_base_patch16_clip_224.laion2b_ft_in1k,796.0,488.0,770.0,623.0,511.0,581.0,539.0,322.0,415.0,485.0,535.0,506.0,619.0,456.0,569.0,658.0,363.0,549.0
fully attention,large,fusion,TRADES,vit_base_patch16_clip_224.laion2b_ft_in1k,792.0,174.0,545.0,536.0,215.0,500.0,735.0,167.0,412.0,657.0,293.0,409.0,497.0,75.0,455.0,589.0,112.0,749.0
fully attention,large,self-supervised,Classic AT,eva02_base_patch14_224.mim_in22k,745.0,164.0,672.0,713.0,275.0,500.0,771.0,122.0,504.0,586.0,385.0,580.0,618.0,303.0,568.0,667.0,77.0,562.0
fully attention,large,self-supervised,Classic AT,vit_base_patch16_224.mae,759.0,319.0,910.0,718.0,163.0,726.0,648.0,224.0,631.0,765.0,595.0,730.0,844.0,369.0,882.0,635.0,170.0,772.0
fully attention,large,self-supervised,TRADES,eva02_base_patch14_224.mim_in22k,542.0,64.0,540.0,559.0,52.0,473.0,773.0,96.0,377.0,471.0,169.0,425.0,487.0,55.0,473.0,490.0,118.0,534.0
fully attention,large,self-supervised,TRADES,vit_base_patch16_224.mae,926.0,321.0,900.0,839.0,125.0,676.0,701.0,409.0,727.0,764.0,289.0,676.0,807.0,146.0,782.0,617.0,388.0,752.0
fully attention,large,self-supervised (multimodal),Classic AT,vit_base_patch16_clip_224.laion2b,961.0,426.0,748.0,669.0,455.0,533.0,544.0,297.0,810.0,631.0,545.0,617.0,608.0,493.0,548.0,590.0,160.0,567.0
fully attention,large,self-supervised (multimodal),TRADES,vit_base_patch16_clip_224.laion2b,512.0,185.0,596.0,816.0,244.0,466.0,805.0,117.0,763.0,640.0,197.0,516.0,316.0,49.0,434.0,501.0,636.0,511.0
fully attention,large,supervised,Classic AT,vit_base_patch16_224.augreg_in1k,587.0,310.0,747.0,654.0,229.0,629.0,466.0,204.0,593.0,870.0,572.0,572.0,580.0,323.0,696.0,512.0,125.0,735.0
fully attention,large,supervised,Classic AT,vit_base_patch16_224.augreg_in21k,791.0,361.0,698.0,806.0,366.0,556.0,750.0,313.0,696.0,849.0,452.0,600.0,815.0,452.0,639.0,716.0,203.0,735.0
fully attention,large,supervised,TRADES,vit_base_patch16_224.augreg_in1k,766.0,271.0,684.0,595.0,157.0,565.0,369.0,405.0,560.0,515.0,281.0,459.0,862.0,207.0,604.0,511.0,125.0,790.0
fully attention,large,supervised,TRADES,vit_base_patch16_224.augreg_in21k,763.0,237.0,940.0,836.0,392.0,598.0,789.0,215.0,684.0,662.0,627.0,736.0,828.0,300.0,610.0,792.0,355.0,769.0
fully attention,large,supervised (multistep),Classic AT,swin_base_patch4_window7_224.ms_in22k_ft_in1k,360.0,131.0,646.0,675.0,120.0,570.0,767.0,76.0,406.0,617.0,197.0,473.0,639.0,181.0,633.0,706.0,72.0,488.0
fully attention,large,supervised (multistep),Classic AT,vit_base_patch16_224.augreg_in21k_ft_in1k,756.0,280.0,670.0,760.0,327.0,558.0,644.0,318.0,618.0,748.0,431.0,581.0,793.0,411.0,625.0,571.0,467.0,682.0
fully attention,large,supervised (multistep),TRADES,swin_base_patch4_window7_224.ms_in22k_ft_in1k,409.0,100.0,517.0,485.0,72.0,502.0,394.0,68.0,365.0,466.0,151.0,393.0,515.0,104.0,559.0,520.0,51.0,474.0
fully attention,large,supervised (multistep),TRADES,vit_base_patch16_224.augreg_in21k_ft_in1k,974.0,217.0,868.0,759.0,508.0,585.0,699.0,331.0,638.0,715.0,324.0,789.0,804.0,264.0,614.0,670.0,759.0,612.0
fully attention,large,supervised (robust),Classic AT,robust_vit_base_patch16_224,725.0,79.0,825.0,773.0,423.0,658.0,605.0,457.0,605.0,682.0,130.0,659.0,660.0,499.0,759.0,704.0,619.0,722.0
fully attention,large,supervised (robust),TRADES,robust_vit_base_patch16_224,624.0,106.0,865.0,596.0,124.0,669.0,723.0,313.0,758.0,441.0,416.0,658.0,626.0,230.0,766.0,796.0,713.0,595.0
fully attention,medium,self-supervised,Classic AT,eva02_tiny_patch14_224.mim_in22k,724.0,537.0,840.0,612.0,438.0,753.0,758.0,341.0,569.0,687.0,491.0,730.0,626.0,649.0,750.0,498.0,335.0,841.0
fully attention,medium,self-supervised,Classic AT,vit_small_patch16_224.dino,833.0,467.0,810.0,783.0,519.0,655.0,654.0,565.0,792.0,689.0,273.0,720.0,753.0,689.0,654.0,563.0,356.0,482.0
fully attention,medium,self-supervised,TRADES,eva02_tiny_patch14_224.mim_in22k,736.0,330.0,809.0,682.0,287.0,638.0,752.0,371.0,642.0,739.0,444.0,599.0,626.0,280.0,690.0,562.0,606.0,733.0
fully attention,medium,self-supervised,TRADES,vit_small_patch16_224.dino,902.0,486.0,978.0,741.0,645.0,760.0,735.0,667.0,664.0,771.0,768.0,865.0,809.0,562.0,833.0,834.0,267.0,638.0
fully attention,medium,supervised,Classic AT,deit_small_patch16_224.fb_in1k,462.0,661.0,971.0,612.0,308.0,715.0,604.0,363.0,599.0,623.0,270.0,686.0,840.0,516.0,743.0,502.0,118.0,548.0
fully attention,medium,supervised,Classic AT,swin_tiny_patch4_window7_224.ms_in1k,803.0,289.0,759.0,856.0,234.0,695.0,760.0,739.0,602.0,640.0,277.0,611.0,711.0,484.0,707.0,773.0,134.0,601.0
fully attention,medium,supervised,Classic AT,vit_small_patch16_224.augreg_in1k,699.0,634.0,799.0,565.0,549.0,746.0,751.0,659.0,611.0,802.0,431.0,755.0,671.0,452.0,769.0,465.0,491.0,575.0
fully attention,medium,supervised,Classic AT,vit_small_patch16_224.augreg_in21k,677.0,440.0,822.0,760.0,452.0,725.0,540.0,282.0,487.0,648.0,571.0,667.0,692.0,550.0,694.0,660.0,357.0,536.0
fully attention,medium,supervised,TRADES,deit_small_patch16_224.fb_in1k,536.0,261.0,716.0,639.0,542.0,739.0,607.0,746.0,738.0,408.0,742.0,724.0,848.0,190.0,737.0,526.0,496.0,508.0
fully attention,medium,supervised,TRADES,swin_tiny_patch4_window7_224.ms_in1k,455.0,257.0,610.0,598.0,119.0,549.0,438.0,380.0,400.0,488.0,226.0,418.0,734.0,161.0,583.0,624.0,653.0,767.0
fully attention,medium,supervised,TRADES,vit_small_patch16_224.augreg_in1k,707.0,332.0,771.0,621.0,613.0,624.0,512.0,575.0,634.0,780.0,321.0,622.0,816.0,625.0,819.0,734.0,192.0,836.0
fully attention,medium,supervised,TRADES,vit_small_patch16_224.augreg_in21k,705.0,673.0,796.0,779.0,185.0,755.0,462.0,436.0,510.0,864.0,507.0,739.0,876.0,236.0,699.0,674.0,345.0,610.0
fully attention,medium,supervised (multistep),Classic AT,vit_small_patch16_224.augreg_in21k_ft_in1k,725.0,385.0,791.0,712.0,373.0,806.0,695.0,355.0,468.0,819.0,471.0,695.0,692.0,626.0,686.0,674.0,413.0,836.0
fully attention,medium,supervised (multistep),TRADES,vit_small_patch16_224.augreg_in21k_ft_in1k,965.0,346.0,945.0,646.0,209.0,596.0,758.0,277.0,509.0,651.0,617.0,687.0,742.0,608.0,658.0,661.0,335.0,453.0
fully attention,medium,supervised (robust),Classic AT,robust_deit_small_patch16_224,699.0,100.0,334.0,331.0,484.0,689.0,663.0,406.0,175.0,139.0,422.0,258.0,842.0,248.0,351.0,818.0,65.0,522.0
fully attention,medium,supervised (robust),TRADES,robust_deit_small_patch16_224,780.0,112.0,391.0,669.0,85.0,272.0,756.0,131.0,765.0,687.0,137.0,160.0,689.0,161.0,499.0,739.0,618.0,621.0
fully attention,small,supervised,Classic AT,deit_tiny_patch16_224.fb_in1k,966.0,367.0,898.0,718.0,383.0,704.0,692.0,777.0,831.0,666.0,598.0,699.0,746.0,427.0,772.0,657.0,198.0,624.0
fully attention,small,supervised,TRADES,deit_tiny_patch16_224.fb_in1k,622.0,346.0,825.0,636.0,226.0,677.0,539.0,559.0,447.0,768.0,357.0,719.0,775.0,301.0,693.0,651.0,178.0,558.0
fully convolutional,large,fusion,Classic AT,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,778.0,189.0,611.0,631.0,341.0,521.0,700.0,670.0,492.0,690.0,337.0,454.0,678.0,182.0,562.0,702.0,246.0,705.0
fully convolutional,large,fusion,TRADES,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,792.0,146.0,571.0,531.0,56.0,491.0,491.0,65.0,494.0,610.0,487.0,492.0,523.0,30.0,470.0,692.0,298.0,618.0
fully convolutional,large,self-supervised (multimodal),Classic AT,CLIP-convnext_base_w-laion2B-s13B-b82K,796.0,187.0,785.0,588.0,158.0,526.0,755.0,141.0,512.0,648.0,333.0,605.0,678.0,98.0,694.0,712.0,97.0,518.0
fully convolutional,large,self-supervised (multimodal),Classic AT,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,886.0,253.0,816.0,611.0,246.0,520.0,518.0,167.0,526.0,617.0,335.0,596.0,646.0,131.0,700.0,673.0,88.0,787.0
fully convolutional,large,self-supervised (multimodal),TRADES,CLIP-convnext_base_w-laion2B-s13B-b82K,796.0,121.0,511.0,532.0,29.0,461.0,660.0,88.0,443.0,301.0,125.0,427.0,121.0,29.0,429.0,663.0,45.0,658.0
fully convolutional,large,self-supervised (multimodal),TRADES,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,527.0,101.0,582.0,640.0,31.0,454.0,718.0,51.0,457.0,638.0,137.0,443.0,425.0,34.0,432.0,386.0,165.0,676.0
fully convolutional,large,supervised,Classic AT,convnext_base.fb_in1k,811.0,110.0,838.0,631.0,86.0,676.0,583.0,115.0,617.0,538.0,97.0,565.0,671.0,117.0,805.0,593.0,572.0,570.0
fully convolutional,large,supervised,Classic AT,convnext_base.fb_in22k,651.0,57.0,712.0,783.0,25.0,545.0,603.0,18.0,448.0,642.0,132.0,509.0,649.0,60.0,676.0,670.0,445.0,509.0
fully convolutional,large,supervised,TRADES,convnext_base.fb_in1k,510.0,63.0,648.0,602.0,47.0,578.0,489.0,94.0,539.0,402.0,68.0,410.0,515.0,62.0,585.0,469.0,318.0,570.0
fully convolutional,large,supervised,TRADES,convnext_base.fb_in22k,655.0,41.0,514.0,448.0,19.0,493.0,357.0,18.0,363.0,421.0,95.0,398.0,691.0,43.0,553.0,819.0,18.0,647.0
fully convolutional,large,supervised (multistep),Classic AT,convnext_base.fb_in22k_ft_in1k,796.0,71.0,677.0,782.0,54.0,575.0,726.0,580.0,500.0,842.0,125.0,483.0,751.0,123.0,630.0,700.0,18.0,746.0
fully convolutional,large,supervised (multistep),TRADES,convnext_base.fb_in22k_ft_in1k,881.0,33.0,508.0,640.0,21.0,496.0,753.0,24.0,360.0,367.0,92.0,397.0,306.0,62.0,539.0,485.0,402.0,517.0
fully convolutional,large,supervised (robust),Classic AT,robust_convnext_base,814.0,59.0,669.0,641.0,92.0,678.0,691.0,160.0,609.0,666.0,62.0,581.0,669.0,172.0,622.0,691.0,468.0,438.0
fully convolutional,large,supervised (robust),TRADES,robust_convnext_base,536.0,45.0,710.0,827.0,33.0,670.0,545.0,305.0,642.0,632.0,61.0,602.0,701.0,104.0,724.0,479.0,38.0,283.0
fully convolutional,medium,supervised,Classic AT,convnext_tiny.fb_in1k,802.0,160.0,842.0,621.0,133.0,647.0,641.0,195.0,715.0,748.0,164.0,591.0,670.0,692.0,712.0,665.0,68.0,742.0
fully convolutional,medium,supervised,Classic AT,convnext_tiny.fb_in22k,815.0,566.0,738.0,618.0,307.0,580.0,420.0,88.0,714.0,641.0,329.0,799.0,663.0,135.0,722.0,555.0,62.0,703.0
fully convolutional,medium,supervised,Classic AT,resnet50.a1_in1k,750.0,310.0,770.0,761.0,350.0,614.0,614.0,666.0,569.0,790.0,346.0,638.0,850.0,244.0,746.0,756.0,532.0,455.0
fully convolutional,medium,supervised,TRADES,convnext_tiny.fb_in1k,570.0,129.0,643.0,645.0,89.0,570.0,484.0,372.0,623.0,387.0,131.0,413.0,626.0,98.0,592.0,595.0,155.0,720.0
fully convolutional,medium,supervised,TRADES,convnext_tiny.fb_in22k,861.0,138.0,533.0,740.0,49.0,511.0,506.0,51.0,336.0,697.0,191.0,685.0,897.0,422.0,565.0,673.0,161.0,402.0
fully convolutional,medium,supervised,TRADES,resnet50.a1_in1k,692.0,401.0,793.0,810.0,425.0,810.0,558.0,448.0,643.0,793.0,388.0,485.0,791.0,410.0,611.0,489.0,519.0,698.0
fully convolutional,medium,supervised (multistep),Classic AT,convnext_tiny.fb_in22k_ft_in1k,382.0,190.0,763.0,627.0,378.0,597.0,679.0,736.0,724.0,738.0,670.0,645.0,891.0,349.0,661.0,541.0,90.0,520.0
fully convolutional,medium,supervised (multistep),TRADES,convnext_tiny.fb_in22k_ft_in1k,942.0,60.0,580.0,837.0,208.0,505.0,606.0,55.0,701.0,724.0,263.0,629.0,620.0,98.0,557.0,659.0,106.0,709.0
fully convolutional,medium,supervised (robust),Classic AT,robust_convnext_tiny,398.0,515.0,352.0,456.0,143.0,390.0,285.0,135.0,726.0,119.0,472.0,710.0,833.0,543.0,393.0,676.0,84.0,266.0
fully convolutional,medium,supervised (robust),Classic AT,robust_resnet50,491.0,224.0,369.0,686.0,179.0,415.0,422.0,272.0,625.0,712.0,324.0,306.0,388.0,263.0,434.0,231.0,328.0,795.0
fully convolutional,medium,supervised (robust),TRADES,robust_convnext_tiny,213.0,93.0,400.0,511.0,337.0,476.0,551.0,110.0,294.0,489.0,192.0,207.0,409.0,396.0,441.0,432.0,69.0,753.0
fully convolutional,medium,supervised (robust),TRADES,robust_resnet50,760.0,234.0,415.0,518.0,206.0,759.0,308.0,222.0,429.0,467.0,345.0,487.0,439.0,421.0,436.0,506.0,641.0,655.0
fully convolutional,small,supervised,Classic AT,efficientnet-b0,881.0,565.0,796.0,652.0,632.0,612.0,814.0,578.0,703.0,812.0,473.0,630.0,621.0,505.0,588.0,789.0,414.0,673.0
fully convolutional,small,supervised,Classic AT,mobilenetv3_large_100.ra_in1k,982.0,373.0,750.0,703.0,343.0,585.0,606.0,406.0,753.0,737.0,452.0,563.0,790.0,277.0,711.0,774.0,319.0,521.0
fully convolutional,small,supervised,Classic AT,regnetx_004.pycls_in1k,911.0,365.0,822.0,671.0,311.0,683.0,468.0,383.0,786.0,756.0,481.0,642.0,732.0,344.0,732.0,584.0,117.0,481.0
fully convolutional,small,supervised,TRADES,efficientnet-b0,906.0,609.0,932.0,719.0,730.0,640.0,686.0,539.0,610.0,746.0,609.0,662.0,714.0,596.0,777.0,773.0,456.0,704.0
fully convolutional,small,supervised,TRADES,mobilenetv3_large_100.ra_in1k,593.0,437.0,608.0,603.0,425.0,505.0,498.0,365.0,655.0,545.0,446.0,635.0,816.0,373.0,574.0,425.0,344.0,844.0
fully convolutional,small,supervised,TRADES,regnetx_004.pycls_in1k,805.0,438.0,817.0,811.0,423.0,629.0,647.0,393.0,670.0,717.0,541.0,629.0,650.0,429.0,665.0,837.0,369.0,791.0
hybrid,large,supervised,Classic AT,coatnet_2_rw_224.sw_in12k,929.0,67.0,618.0,777.0,299.0,544.0,821.0,184.0,472.0,806.0,405.0,544.0,743.0,99.0,647.0,741.0,177.0,496.0
hybrid,large,supervised,TRADES,coatnet_2_rw_224.sw_in12k,671.0,67.0,698.0,780.0,44.0,515.0,560.0,39.0,472.0,670.0,156.0,585.0,638.0,45.0,602.0,789.0,44.0,631.0
hybrid,large,supervised (multistep),Classic AT,coatnet_2_rw_224.sw_in12k_ft_in1k,803.0,104.0,657.0,762.0,281.0,592.0,717.0,316.0,483.0,604.0,172.0,484.0,661.0,108.0,636.0,687.0,131.0,501.0
hybrid,large,supervised (multistep),TRADES,coatnet_2_rw_224.sw_in12k_ft_in1k,431.0,49.0,621.0,695.0,72.0,511.0,817.0,49.0,385.0,776.0,118.0,409.0,587.0,71.0,571.0,710.0,19.0,517.0
hybrid,medium,supervised,Classic AT,coatnet_0_rw_224.sw_in1k,745.0,342.0,690.0,631.0,315.0,653.0,787.0,275.0,761.0,820.0,384.0,552.0,903.0,430.0,673.0,642.0,573.0,515.0
hybrid,medium,supervised,TRADES,coatnet_0_rw_224.sw_in1k,874.0,286.0,611.0,597.0,127.0,557.0,745.0,521.0,475.0,398.0,325.0,427.0,739.0,178.0,595.0,735.0,87.0,684.0
hybrid,small,supervised,Classic AT,coat_tiny.in1k,850.0,258.0,975.0,783.0,518.0,796.0,768.0,548.0,809.0,803.0,490.0,711.0,626.0,325.0,762.0,649.0,412.0,847.0
hybrid,small,supervised,Classic AT,edgenext_small.usi_in1k,786.0,207.0,817.0,621.0,378.0,698.0,636.0,298.0,822.0,662.0,230.0,855.0,749.0,180.0,737.0,673.0,120.0,844.0
hybrid,small,supervised,Classic AT,mobilevit-small,693.0,514.0,953.0,698.0,488.0,811.0,669.0,436.0,666.0,782.0,499.0,797.0,534.0,415.0,875.0,698.0,378.0,819.0
hybrid,small,supervised,TRADES,coat_tiny.in1k,645.0,202.0,847.0,658.0,123.0,726.0,595.0,154.0,739.0,712.0,162.0,670.0,613.0,135.0,710.0,582.0,131.0,709.0
hybrid,small,supervised,TRADES,edgenext_small.usi_in1k,485.0,199.0,753.0,668.0,137.0,621.0,462.0,193.0,442.0,851.0,188.0,556.0,552.0,158.0,627.0,602.0,157.0,713.0
hybrid,small,supervised,TRADES,mobilevit-small,890.0,537.0,940.0,730.0,414.0,821.0,704.0,363.0,795.0,722.0,559.0,819.0,779.0,591.0,875.0,652.0,330.0,744.0
