backbone,dataset,loss_function,restart_from
regnetx_004.pycls_in1k,uc-merced-land-use-dataset,TRADES_v2,job5_test_l2.sh
efficientnet-b0,uc-merced-land-use-dataset,TRADES_v2,job4_test_l1.sh
deit_tiny_patch16_224.fb_in1k,uc-merced-land-use-dataset,TRADES_v2,job4_test_l1.sh
mobilevit-small,uc-merced-land-use-dataset,TRADES_v2,job4_test_l1.sh
mobilenetv3_large_100.ra_in1k,uc-merced-land-use-dataset,TRADES_v2,job4_test_l1.sh
edgenext_small.usi_in1k,uc-merced-land-use-dataset,TRADES_v2,job4_test_l1.sh
coat_tiny.in1k,uc-merced-land-use-dataset,TRADES_v2,job4_test_l1.sh
regnetx_004.pycls_in1k,stanford_cars,TRADES_v2,job5_test_l2.sh
efficientnet-b0,stanford_cars,TRADES_v2,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,stanford_cars,TRADES_v2,job5_test_l2.sh
mobilevit-small,stanford_cars,TRADES_v2,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,stanford_cars,TRADES_v2,job5_test_l2.sh
edgenext_small.usi_in1k,stanford_cars,TRADES_v2,job5_test_l2.sh
coat_tiny.in1k,stanford_cars,TRADES_v2,job1_hpo.sh
regnetx_004.pycls_in1k,caltech101,TRADES_v2,job5_test_l2.sh
efficientnet-b0,caltech101,TRADES_v2,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,caltech101,TRADES_v2,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,caltech101,TRADES_v2,job5_test_l2.sh
edgenext_small.usi_in1k,caltech101,TRADES_v2,job5_test_l2.sh
coat_tiny.in1k,caltech101,TRADES_v2,job1_hpo.sh
regnetx_004.pycls_in1k,fgvc-aircraft-2013b,TRADES_v2,job5_test_l2.sh
efficientnet-b0,fgvc-aircraft-2013b,TRADES_v2,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,fgvc-aircraft-2013b,TRADES_v2,job5_test_l2.sh
mobilevit-small,fgvc-aircraft-2013b,TRADES_v2,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,fgvc-aircraft-2013b,TRADES_v2,job5_test_l2.sh
edgenext_small.usi_in1k,fgvc-aircraft-2013b,TRADES_v2,job5_test_l2.sh
coat_tiny.in1k,fgvc-aircraft-2013b,TRADES_v2,job1_hpo.sh
regnetx_004.pycls_in1k,flowers-102,TRADES_v2,job5_test_l2.sh
efficientnet-b0,flowers-102,TRADES_v2,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,flowers-102,TRADES_v2,job5_test_l2.sh
mobilevit-small,flowers-102,TRADES_v2,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,flowers-102,TRADES_v2,job5_test_l2.sh
edgenext_small.usi_in1k,flowers-102,TRADES_v2,job5_test_l2.sh
coat_tiny.in1k,flowers-102,TRADES_v2,job1_hpo.sh
regnetx_004.pycls_in1k,oxford-iiit-pet,TRADES_v2,job5_test_l2.sh
efficientnet-b0,oxford-iiit-pet,TRADES_v2,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,oxford-iiit-pet,TRADES_v2,job5_test_l2.sh
mobilevit-small,oxford-iiit-pet,TRADES_v2,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,oxford-iiit-pet,TRADES_v2,job5_test_l2.sh
edgenext_small.usi_in1k,oxford-iiit-pet,TRADES_v2,job5_test_l2.sh
coat_tiny.in1k,oxford-iiit-pet,TRADES_v2,job1_hpo.sh
regnetx_004.pycls_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,uc-merced-land-use-dataset,CLASSIC_AT,job4_test_l1.sh
deit_tiny_patch16_224.fb_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job4_test_l1.sh
mobilevit-small,uc-merced-land-use-dataset,CLASSIC_AT,job4_test_l1.sh
mobilenetv3_large_100.ra_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job4_test_l1.sh
edgenext_small.usi_in1k,uc-merced-land-use-dataset,CLASSIC_AT,job4_test_l1.sh
coat_tiny.in1k,uc-merced-land-use-dataset,CLASSIC_AT,job4_test_l1.sh
regnetx_004.pycls_in1k,stanford_cars,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,stanford_cars,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,stanford_cars,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,stanford_cars,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,stanford_cars,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,stanford_cars,CLASSIC_AT,job5_test_l2.sh
regnetx_004.pycls_in1k,caltech101,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,caltech101,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,caltech101,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,caltech101,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,caltech101,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,caltech101,CLASSIC_AT,job1_hpo.sh
regnetx_004.pycls_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,fgvc-aircraft-2013b,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,fgvc-aircraft-2013b,CLASSIC_AT,job4_test_l1.sh
regnetx_004.pycls_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,flowers-102,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,flowers-102,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,flowers-102,CLASSIC_AT,job5_test_l2.sh
regnetx_004.pycls_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
efficientnet-b0,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
deit_tiny_patch16_224.fb_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
mobilevit-small,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
mobilenetv3_large_100.ra_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
edgenext_small.usi_in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
coat_tiny.in1k,oxford-iiit-pet,CLASSIC_AT,job5_test_l2.sh
